Generation,Best Fitness,Average Fitness,Time (sec)
0,4.237025409,3.436431191,1708.184
1,4.450334184,3.514921,1706.325
2,4.606523509,3.733189058,1705.147
3,4.61621754,3.89341678,1704.914
4,4.615721848,3.951347003,1704.953
5,4.722890612,4.00938996,1703.96
6,4.715544041,3.857803911,1703.935
7,4.810815345,3.961194889,1703.297
8,4.809752663,4.135531741,1704.166
9,4.809177733,4.1705465,1706.061
10,4.817812459,4.10477128,1704.797
11,4.822726942,4.132339761,1705.993
12,4.809598083,4.141920457,1704.471
13,4.823302515,4.225817715,1700.39
14,4.821998926,4.031453755,1698.392
